county,code,district,population,native_pop,asian_pop,black_pop,hispanic_pop,api_pop,multi_pop,white_pop,li_pop,se_pop,disciplined,native_d,asian_d,black_d,hispanic_d,api_d,multi_d,white_d,li_d,se_d
Whatcom,37501,Bellingham ,12096,148,658,186,1855,32,869,8348,5163,1788,171,,,7,36,,14,104,123,55
Kitsap,18401,Central Kitsap ,12047,68,669,393,1431,155,1953,7378,4699,2077,492,,10,23,66,,89,297,299,135
Spokane,32354,Mead ,10721,46,101,124,601,69,887,8893,3277,1513,222,,0,8,17,0,30,164,133,79
Snohomish,31201,Snohomish ,10714,72,417,134,1032,27,580,8452,2746,1625,199,,,10,19,0,9,157,78,67
Kitsap,18402,South Kitsap ,10285,100,314,170,1092,149,1150,7308,4751,1615,169,,,7,19,,14,118,122,43
Thurston,34111,Olympia ,10214,71,738,263,1078,42,934,7088,3509,1513,319,,8,21,52,,36,195,204,111
Pierce,27401,Peninsula ,9998,55,175,95,701,27,873,8072,2627,1303,335,,,,29,,36,258,163,80
Grant,13161,Moses Lake ,9984,74,97,125,4337,4,241,5104,6397,1327,526,,0,15,256,,22,226,424,123
King,17412,Shoreline ,9767,52,1352,673,1240,41,1075,5334,3139,1367,279,,27,39,51,,35,124,154,86
Pierce,27320,Sumner ,9464,97,179,99,1220,40,728,7101,3794,1399,171,,,,32,,16,111,106,37
Snohomish,31004,Lake Stevens ,9100,63,318,187,1209,40,631,6652,3240,1363,301,6,7,7,50,,18,211,157,90
Pierce,27402,Franklin Pierce ,8924,72,538,1008,2097,502,1201,3506,6771,1338,545,,14,116,89,30,79,212,455,136
Chelan,04246,Wenatchee ,8834,35,81,40,4261,9,216,4192,5442,1098,440,,,,251,,10,171,368,126
King,17409,Tahoma ,8471,39,334,149,773,50,633,6493,1590,1098,165,0,,7,17,,10,125,65,47
Snohomish,31103,Monroe ,8302,79,212,147,1462,28,357,6016,2527,1066,157,,,,34,0,13,106,89,33
Thurston,34033,Tumwater ,7853,81,196,203,818,47,627,5880,2850,1085,334,,,10,35,,46,236,209,107
Cowlitz,08122,Longview ,7619,93,128,79,1457,27,574,5261,5000,1393,440,,,9,109,,24,291,371,153
Skagit,29320,Mount Vernon ,7527,81,131,76,4004,50,176,3009,5197,1063,150,,0,,105,0,6,37,134,39
Yakima,39201,Sunnyside ,7224,2,2,11,6580,,55,574,7040,914,458,,,,428,,,25,458,100
Walla Walla,36140,Walla Walla ,7183,31,108,60,2684,8,218,4074,4290,965,198,,0,,83,,,106,165,56
Okanogan,24019,Omak ,7101,665,202,285,824,47,297,4781,2849,900,82,35,0,0,13,,6,27,74,20
Island,15201,Oak Harbor ,7077,48,568,383,971,72,609,4426,3053,1067,61,,,,8,,,43,41,20
Clark,06117,Camas ,6907,28,402,63,541,28,504,5341,1452,939,64,0,,0,6,0,,53,23,17
King,17410,Snoqualmie Valley ,6888,36,314,65,438,15,262,5758,1129,893,90,,,,6,,,70,37,29
Kitsap,18400,North Kitsap ,6830,315,217,59,753,22,734,4730,2716,1198,117,,,0,10,0,14,86,61,36
Kitsap,18100,Bremerton ,6409,95,222,371,1097,137,955,3532,4139,1074,307,,,24,64,,69,142,245,81
Thurston,34002,Yelm ,6382,96,90,98,801,47,597,4653,3164,965,344,,,9,37,,31,261,221,88
Douglas,09206,Eastmont ,6277,22,39,29,2731,7,159,3290,3609,844,215,,,,92,,8,110,162,78
Pierce,27083,University Place ,6159,35,547,613,802,54,966,3142,2652,910,211,,13,48,21,0,42,85,128,74
Snohomish,31016,Arlington ,6005,69,92,76,718,31,284,4735,2363,737,134,,0,,11,,8,111,71,31
Spokane,32361,East Valley  (Spokane),5771,68,73,57,564,39,448,4522,3356,907,154,,,,10,0,19,118,120,54
Cowlitz,08458,Kelso ,5687,122,65,36,941,37,390,4095,3479,846,358,6,,,55,8,27,256,276,83
Whatcom,37502,Ferndale ,5664,750,173,52,971,7,324,3387,3192,935,212,56,,,31,,16,107,177,54
Yakima,39208,West Valley  (Yakima),5329,58,142,52,1416,4,143,3514,2479,794,153,,,,38,,,102,98,35
King,17216,Enumclaw ,5227,442,30,39,662,15,176,3863,1705,688,94,7,,0,,,,77,49,35
Skagit,29101,Sedro-Woolley ,4997,122,43,56,979,17,196,3584,2896,815,153,7,,,30,,,106,115,43
Yakima,39202,Toppenish ,4997,621,15,11,3795,2,64,489,4383,643,314,60,,,237,,,13,313,86
Snohomish,31401,Stanwood-Camano ,4896,42,56,51,397,10,203,4137,1623,825,86,,,0,,,,74,47,31
Spokane,32360,Cheney ,4830,77,84,78,481,13,372,3725,2668,967,221,,,,32,,18,159,170,75
Adams,01147,Othello ,4732,,12,5,4144,,27,544,3689,581,259,,,,236,,,20,224,59
Mason,23309,Shelton ,4724,179,25,27,1220,16,311,2946,3403,869,307,18,,,55,,28,202,256,65
Skagit,29100,Burlington-Edison ,4556,45,77,28,1845,7,126,2428,2455,579,130,,,,60,,,61,97,38
King,17400,Mercer Island ,4549,13,847,67,177,11,269,3165,213,573,38,,,,,,,23,6,16
Spokane,32363,West Valley  (Spokane),4441,49,56,82,360,16,305,3573,2599,694,152,,0,,20,,9,119,116,42
Clallam,05121,Port Angeles ,4322,216,62,40,359,9,490,3146,2508,641,234,12,,,18,,30,168,186,86
Lewis,21401,Centralia ,4286,33,26,60,1281,13,135,2738,3165,779,300,,,,93,,8,189,251,66
Clallam,05402,Quillayute Valley ,4203,190,64,135,767,14,407,2626,2031,579,52,,0,0,21,,,24,36,16
